name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Pittsburgh City Council & Mayor,PA,LOCAL,US,9,4 years,https://pittsburghpa.gov/council/,2021-11-02 05:00:00+00:00,Even-numbered council districts,,False,False,40.4413886035493,-79.9731065795818,"Nov 02, 2021"
Provo City Council & Mayor,UT,LOCAL,US,7,4 years,https://www.provo.org/government/city-council/meet-the-council,2021-11-02 05:00:00+00:00,"district 2, district 5, 1 at-large seat, and mayor",,False,False,40.2438826240123,-111.656301934869,"Nov 02, 2021"
Pueblo City Council,CO,LOCAL,US,7,4 years,https://www.pueblo.us/585/Council-Members,2021-11-02 05:00:00+00:00,"Districts 1, 3 and 2 at large positions",,False,False,38.2654477497697,-104.616557701401,"Nov 02, 2021"
Quebec City Council & Mayor,QC,LOCAL,CA,21,4 years,https://www.ville.quebec.qc.ca/apropos/gouvernance/conseil-municipal/index.aspx,2021-11-07 05:00:00+00:00,21 councillors,https://en.wikipedia.org/wiki/2021_Quebec_City_municipal_election,False,False,46.8367465515137,-71.2907800667884,"Nov 07, 2021"
Queens Borough President,NY,LOCAL,US,1,4 years,http://www.queensbp.org/,2021-11-02 05:00:00+00:00,,,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
Renton City Council,WA,LOCAL,US,7,4 years,http://rentonwa.gov/council/,2021-11-02 05:00:00+00:00,3 seats,https://www.kingcounty.gov/depts/elections.aspx,False,False,47.4758597024735,-122.190340665367,"Nov 02, 2021"
Rochester City Council & Mayor,NY,LOCAL,US,9,4 years,http://www.cityofrochester.gov/article.aspx?id=8589935617,2021-11-02 05:00:00+00:00,Mayor and 4 At Large Seats,https://www2.monroecounty.gov/elections-index.php,False,False,43.1670390288372,-77.6127178689243,"Nov 02, 2021"
Saguenay City Council & Mayor,QC,LOCAL,CA,15,4 years,https://ville.saguenay.ca/la-ville-et-vie-democratique/conseils-municipaux-et-darrondissement/membres-des-conseils,2021-11-07 05:00:00+00:00,All.,,False,False,48.3923505328101,-71.1142004486255,"Nov 07, 2021"
Salt Lake City Council,UT,LOCAL,US,7,4 years,https://www.slc.gov/council/,2021-11-02 05:00:00+00:00,"Districts 1, 3, 5, 7",,False,False,40.7572380130586,-111.88490526445,"Nov 02, 2021"
Sandy Springs City Council,GA,LOCAL,US,6,4 years,http://www.sandyspringsga.gov/government/city-council,2021-11-02 05:00:00+00:00,All seats,,False,False,33.9375181308951,-84.3687301151361,"Nov 02, 2021"
Seattle City Council & Mayor,WA,LOCAL,US,9,4 years,https://www.seattle.gov/council,2021-11-02 05:00:00+00:00,districts 8 and 9,https://en.wikipedia.org/wiki/2021_Seattle_City_Council_election,False,False,47.6301192111893,-122.33292762084,"Nov 02, 2021"
Sherbrooke City Council & Mayor,QC,LOCAL,CA,16,4 years,https://www.ville.sherbrooke.qc.ca/fr/mairie-et-vie-democratique/conseil-municipal/,2021-11-07 05:00:00+00:00,All seats.,,False,False,45.3960118253667,-71.9127417354301,"Nov 07, 2021"
Spokane City Council,WA,LOCAL,US,7,4 years,https://my.spokanecity.org/citycouncil/,2021-11-02 05:00:00+00:00,Half of the council seats.,https://my.spokanecity.org/elections/,False,False,47.6744801355583,-117.415048126839,"Nov 02, 2021"
Spokane Valley City Council,WA,LOCAL,US,7,4 years,https://www.spokanevalley.org/content/6836/6892/default.aspx,2021-11-02 05:00:00+00:00,"Positions 1, 4, 5, 7",,False,False,47.6625893869225,-117.234599875113,"Nov 02, 2021"
Springfield City Council & Mayor,MA,LOCAL,US,13,2 years,https://www.springfield-ma.gov/cos/index.php?id=council,2021-11-02 05:00:00+00:00,,,False,False,42.1121936175479,-72.5498363163147,"Nov 02, 2021"
St. Paul Mayor,MN,LOCAL,US,1,4 years,https://www.stpaul.gov/departments/mayors-office,2021-11-02 05:00:00+00:00,,,False,False,44.9512270205362,-93.1082677146429,"Nov 02, 2021"
St. Petersburg City Council & Mayor,FL,LOCAL,US,8,4 years,http://www.stpete.org/council/index.asp,2021-11-02 05:00:00+00:00,Mayor and Even Numbered Districts,http://www.stpete.org/elections/index.php,False,False,27.7858652681396,-82.6664738158809,"Nov 02, 2021"
Stamford Board of Representatives & Mayor,CT,LOCAL,US,40,4 years,http://www.boardofreps.org/,2021-11-02 05:46:45+00:00,,,False,False,41.074532152187,-73.5420479850428,"Nov 02, 2021"
Staten Island Borough President,NY,LOCAL,US,1,4 years,http://www.statenislandusa.com/,2021-11-02 05:00:00+00:00,,,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
Sterling Heights City Council,MI,LOCAL,US,7,2 years,https://www.sterling-heights.net/148/City-Council,2021-11-02 05:00:00+00:00,,,False,False,42.58098528413,-83.030368089749,"Nov 02, 2021"
Syracuse Common Council & Mayor,NY,LOCAL,US,10,2-4 years,http://www.syrgov.net/Common_Council.aspx,2021-11-02 05:00:00+00:00,"Mayor, all numbered council seats, 3 at large council seats",,False,False,43.0422375755857,-76.1416673592569,"Nov 02, 2021"
Tacoma City Council,WA,LOCAL,US,9,4 years,https://www.cityoftacoma.org/government/city_council,2021-11-02 05:00:00+00:00,"Mayor, districts 2, 4, 5, and 1 At Large seat.",,False,False,47.2414194724576,-122.459396878665,"Nov 02, 2021"
Terrebonne City Council & Mayor,QC,LOCAL,CA,16,4 years,https://www.ville.terrebonne.qc.ca/fr/10/Conseil_municipal,2021-11-07 05:00:00+00:00,All.,,False,False,45.7213015459762,-73.6659796418711,"Nov 07, 2021"
Thornton City Council,CO,LOCAL,US,9,4 years,https://www.cityofthornton.net/government/city-council/Pages/default.aspx,2021-11-02 05:00:00+00:00,1 member from each ward,,False,False,39.9118832822248,-104.949039433693,"Nov 02, 2021"
Toledo City Council & Mayor,OH,LOCAL,US,12,4 years,https://toledo.oh.gov/government/city-council/,2021-11-02 05:00:00+00:00,Mayor and at-large districts,,False,False,41.6649809496271,-83.580663259041,"Nov 02, 2021"
Topeka City Council,KS,LOCAL,US,10,4 years,https://www.topeka.org/citycouncil,2021-11-02 05:00:00+00:00,"Mayor and Districts 1, 3, 5, 7",https://www.snco.us/election/,False,False,39.0304630139346,-95.7013747934315,"Nov 02, 2021"
