"id","sk","name_formal","state","gov_type","country_code","official_count","term_length","url","upcoming_election","ue_remarks","ue_url_1","special","runoff","ue_cicero_link"
2673,2670,"Irving Mayor","TX","LOCAL","US",1,"3 years","","2020-11-03 00:00:00+00","Mayor, Place 3, Place 5","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/18002/change/"
2675,398,"United States Senate","","NATIONAL","US",100,"6 years","http://www.senate.gov/","2020-11-03 00:00:00+00","Georgia. Senator Johnny Isakson resigned in 2019. The winner will fill the remaining term through January, 2023.","https://en.wikipedia.org/wiki/2020_United_States_Senate_special_election_in_Georgia",True,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/17723/change/"
2675,398,"United States Senate","","NATIONAL","US",100,"6 years","http://www.senate.gov/","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16231/change/"
2681,741,"Hawaii Senate","HI","STATE","US",25,"4 years","http://www.capitol.hawaii.gov/senate.aspx","2020-11-03 00:00:00+00","Half of seats up for election.","https://ballotpedia.org/Hawaii_State_Senate_elections,_2020",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16025/change/"
2785,500,"Baltimore City Council","MD","LOCAL","US",15,"4 years","http://www.baltimorecitycouncil.com/","2020-11-03 00:00:00+00","All districts and Mayor are up for election.","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/17975/change/"
2788,2788,"Delaware Lieutenant Governor","DE","STATE","US",1,"","","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14480/change/"
2789,2789,"Montana Lieutenant Governor","MT","STATE","US",1,"","","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14592/change/"
2819,122,"Miami-Dade Board of County Commissioners","FL","LOCAL","US",13,"4 years","http://www.miamidade.gov/commission/","2020-11-03 00:00:00+00","Odd districts","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16046/change/"
2898,2735,"Pinal County Board of Supervisors","AZ","LOCAL","US",5,"4 years","http://www.pinalcountyaz.gov/bos/Pages/Home.aspx","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14657/change/"
2900,2726,"Coconino County Board of Supervisors","AZ","LOCAL","US",5,"4 years","http://www.coconino.az.gov/index.aspx?nid=104","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14462/change/"
